Text_id,Text,Category,entity,entity_ID,Priority,Source,Target,Domain 1,Domain 2,Parent_entity,Hierarchy_level
,"Long ncRNAs in particular seem central to the way cells “lock in” their differentiated state, for example by guiding enzymes that modify the structure of chromatin. ENCODE initially identified around 16,000 long ncRNA genes (yes, we can justifiably call them genes).",un-dogma,lncRNA,lnc_R,LNC1 ,RNA,DNA,,,RNA,2
,"Far from being the mere messenger for making proteins, RNAs are the focus of much of the real action in our cells. Indeed, they are the why many proteins reason exist at all.",un-dogma,RNA,RNA,RNA1,RNA,RNA,RNA is all that,,RNA,1
,a third major class of proteins in our cells have the role of binding to regulatory RNA.,un-dogma,RNA,RNA,RNA3,Protein,RNA,RNA binding protein,,RNA,1
,"Of the genome sequences that we share with other mammals, the majority are in noncoding regions, implying that stuff is what matters to being a mammal. this Just how much of that noncoding DNA really makes a difference is another matter. It’s probably not 80 percent— ENCODE member Bradley Bernstein guesses that 30 percent might be a more realistic figure. But even then, he says, “there is a huge amount of regulatory DNA [and thus RNA] controlling the 20,000 protein- coding genes— way more than coding DNA.”",un-dogma,Gene and genome,gen,EN2,DNA,RNA,regulatory RNA,,Gene and genome,1
,"But what is all this regulation about? Regulating why, and to what end?
As Barbara and Christine—the identical twins who (like all identical twins) are not the same—know, it’s not what genes you have so much as how you use them. The same applies to the cells of your skin and your liver, your brain, your immune system. Turning genes on and off does not simply tweak cells to display small differences: it can profoundly alter their character. It is by this means that the cells in the early embryo from which each of us grew were able to differentiate into different tissue types and become a body. Gene regulation is the only way that a single genome can support (not create!) a multicellular, multi-tissue organism.",un-dogma,Gene expression,gen_X,GP2,Other,Phenotype,,,Gene expression,1
,"As a general (but not inviolable) rule, methylation in the coding part of the gene can boost transcription, whereas methylation of a promoter region suppresses it. Promoters seem “designed” for such epigenetic regulation, since many of them lie within genomic sequences that have a high density of CpG groups. When they are methylated, the DNA becomes more receptive to the binding of a protein called (uninventively, but descriptively) methyl CpG binding protein 2, which in turn allows other regulatory proteins to dock. (The protein itself represses transcription.)",un-dogma,DNA methylation,mDNA,M1,Protein,DNA,Epigenetics,,Epigenetics,2
,"When methylated DNA is replicated in cell division, the epigenetic marks are duplicated too. That way, the daughter cells have the same pattern of gene activation.",un-dogma,DNA methylation,mDNA,M4,DNA,Protein,Epigenetics,heritability,Epigenetics,2
,But methylation is not necessarily forever. There are enzymes that can remove methyl marks too.,un-dogma,DNA methylation,mDNA,M2,DNA,Protein,Epigenetics,,Epigenetics,2
,...there is a gradation in the amount of methylation that any given gene or its regulatory sequences can acquire.,un-dogma,DNA methylation,mDNA,M3,DNA,Phenotype,Epigenetics,,Epigenetics,2
,"Because epigenetic marking is triggered by external influences on the cell, the genetic resources available to it at any instant become dependent on what happens to the whole organism....This process creates two- way traffic as information travels between the molecular scale and the larger scales all the way to the whole organism (and indeed beyond). Because epigenetic marking is triggered by external influences on the cell, the genetic resources available to it at any instant become dependent on what happens to the whole organism.",un-dogma,DNA methylation,mDNA,M4,Environment ,DNA,Gene regulation,Epigenetics,Epigenetics,2
,"Epigenetics rather blurs the distinction between “nature” and “nurture” insofar as those terms are proxies for genes and environment. For example, plenty of epigenetic control is exerted in the womb, so that identical twins can have different epigenetic “programming” at birth, as well as that acquired later from environmental influences....A striking demonstration of the differences epigenetics can create can be seen in the fact that genetically identical mice can have different hair color: yellow or brown. This is because hair pigmentation is determined by epigenetic regulation of a gene called agouti, the “yellow” variant of which can also cause obesity. The gene product is a protein that influences not only the amount of hair pigmentation but also susceptibility to early onset obesity, type II diabetes, and tumor formation. In 2000, researchers at Duke University in North Carolina found that, while the offspring of yellow-haired and obese agouti female mice shared the mother’s characteristics, normal-sized, brown-haired offspring could be induced instead simply by changing the mother’s diet.",un-dogma,Epigenetics,Epi_gen,E1,DNA,Phenotype,,,Epigenetics,1
,"Methylation patterns can even be altered by psychological experiences, such as trauma and nurture. A study in 2011 found that high maternal care in mice, such as licking and grooming of pups, induced methylation in the promoter region of a gene involved in the stress response. There is some evidence that childhood trauma can be correlated with the amount of methylation in a person’s genome, and that these effects are greater when the experiences come early in life, before the age of about three. They have also been observed in Holocaust victims, and are examples of what molecular geneticist Maria Aristizabal and colleagues call a “biological embedding of experience.”",un-dogma,Epigenetics,Epi_gen,E2,Environment ,DNA,Environmental regulation of phenotype,,Epigenetics,1
,"Epigenetics is not all about methylation of DNA. A second common means of regulating transcription places chemical markers not on the double helix itself but on the histone proteins around which it is wound in the chromosomes. Those markers include methyl groups, but also a variety of other chemical groups with names like phosphoryl, acetyl, and ubiquitinyl. Some of these histone modifications may have quite specific effects. For example, if three methyl groups are added at a particular site on the histone protein denoted H3 at the sites where the histones package a gene promoter region, transcription of the gene gets switched on. This is probably because the histone modification has knock- on effects that loosen up the chromatin so that the transcription enzymes can access it, as if the attachment of methyl groups has undone a clasp. Histone modifications might be triggered by chemical signals such as hormones or drugs, and some diseases have been linked to mutations in the genes that encode histone- modifying enzymes....One such gene, called PHF8, the protein product of which removes methyl groups from histones, is implicated in certain rare forms of learning disability.",un-dogma,Histone modification,his,H1,Protein,Transcription,Epigenetics,Gene Regulation,Histone modification,1
,"What’s more, these modifications have an “analog” character: they exert their effects continuously rather than digitally via “on- off” switching. Some histone modifications act as flags to certain enzymes, inducing them to initiate processes that involve the activation or suppression of genes by other proteins called transcription factors.",un-dogma,Histone modification,his,H2,Protein,Transcription,Epigenetics,Gene Regulation,Histone modification,1
,"So genes in euchromatin are typically accessible for transcription, but those in heterochromatin aren’t— they are silenced. Histone modification is, then, one way in which genes are regulated by altering the structure of chromatin, a factor operating at the next scale up from the molecular.",un-dogma,Chromatin,Chr,CHR2,Protein,Transcription,Epigenetics,Gene Regulation,DNA,2
,"By the same token, the removal of acetyl groups from histones can trigger the compaction of chromatin. It is thought that this happens during mitosis (cell division), when the chromosomes need to be densely packed to withstand the forces they are subjected to as they are pulled and pushed on the mitotic spindle that segregates them into the nascent daughter cells.",un-dogma,Histone modification,his,H3,Protein,DNA,Epigenetics,Gene Regulation,Histone modification,1
,"The gametes— eggs and sperm— have mechanisms that protect their genomes from much epigenetic alteration, and strip away more or less all of it anyway as these cells mature into the state that takes part in reproduction.",un-dogma,Histone modification,his,H4,DNA,Phenotype,Epigenetics,,Histone modification,1
,"One of the most well- known claims for epigenetic inheritance stems from long- term studies of the effects of the blockade of food and fuel to the Nazi- occupied Netherlands in 1944. The blockade caused widespread malnutrition in the Dutch population. It later became clear that babies born from mothers who had been malnourished early in pregnancy were prone to obesity in adulthood, while if the mothers had suffered malnourishment only late in pregnancy, the babies stayed small all their lives (as is common for children of malnourished mothers). Such differences were evident in the next generation too: babies of the first group tended to be heavier than average, while those of the second group were not. It seems possible— although the idea has again been disputed— that epigenetic changes to the first group early in gestation due to maternal malnutrition were passed on to their offspring too, producing greater average weight.",un-dogma,Epigenetics,Epi_gen,E3,Protein,Phenotype,heritability,,Epigenetics,1
,"Genetic hardwiring, with rather little regulatory control, is fine for bacteria. They are abundant and replicate fast, so they can evolve quickly in comparison to typical rates of environmental change. We have seen this all too plainly in the way superbugs have evolved to resist antibiotics over a matter of years.",Dogma,Gene and genome,gen,GEG3,DNA,Phenotype,,,Gene and genome,1
,"A catalyst speeds up a chemical reaction while emerging unscathed—and, as is the case with most protein enzymes, they also select a single desired outcome, a single product, from the many possible permutations of atoms in the reactant molecules....The chain then acquires its folded form, thanks to several types of chemical interaction. Some of the amino acids— called “residues” when linked into a polypeptide— contain chemical groups that can form the weak chemical bonds called hydrogen bonds, the same linkages that zip together the DNA double helix. Some residues contain the “donor” half of such a bond: a hydrogen atom with a slight positive charge.... Besides hydrogen bonding, the other main driving force behind protein folding is the different solubilities of the various amino acids in the water that fills the cell. Some amino acids contain chemical groups that won’t readily dissolve in water. You might say that they are “oily,” or in technical terms, hydrophobic (“water- fearing”). Others can interact favorably with water molecules, for example by forming hydrogen bonds with them, and these are said to be hydrophilic (“water- loving”). The protein chain can lower its energy and become more stable if it crumples up so that the hydrophobic residues are largely tucked away inside the folds, hidden from water, while the hydrophilic ones are mainly on the outside.",Dogma,Protein,Prot,PRT2,Protein,Protein,,,Protein,1
,"Which parts of the chain attract or repel other parts depends on its sequence of amino acids, and so it seems that the precise folded shape is encoded in the polypeptide’s amino acid sequence— and thus, via the genetic code, in the sequence of the gene from which the protein is derived.",Dogma,Protein,Prot,PRT3,DNA,Protein,protein structure,,Protein,1
,"In 1969 the biochemist Cyrus Levinthal pointed out an apparent paradox in this process of protein folding. It’s clearly possible for many different parts of a chain several hundred residues long to feel some attraction to one another: the chain could fold in many plausible ways. Only one of these these is likely to have the lowest energy possible—and that is the protein’s folding target, called the native fold. But to find it, you’d imagine that the folding chain would have to try out lots of other alternatives.Its lowest-energy folded conformation (the technical word for the particular way the chain is crumpled) may well be “programmed” into the amino acid sequence, but the chain doesn’t “know” that this is its intended destination. It has to find its way there by trial and error. We can think of the possible chain conformations as populating a kind of energy landscape, in which those conformations that are relatively stable appear as dips and valleys. Somewhere in that landscape is the so-called global minimum: the most stable target fold.",un-dogma,Protein,Prot,PRT6,Protein,Protein,,,Protein,1
,"...Sydney Brenner said that “all you had to do was to specify the amino acid sequence and the folding would look after itself.” If the native fold of a protein is indeed wholly dictated by its amino acid sequence, it should be possible in principle to figure out the former from the latter (or indeed, perhaps from the respective gene could predict known structures with impressive fidelity. In 2022 the AlphaFold team trained the algorithm using a subset of the 170,000 or so known protein structures, and used it to predict the structures of others from just their sequences. In many cases the predictions were essentially as accurate as the structures determined from experiments: 35 percent were deemed highly accurate, and another 45 percent good enough to serve as a reliable guide for many research applications in biology.",Dogma,Protein,Prot,PRT7,Protein,Protein,,,Protein,1
,"Many proteins acquire chemical modifications before they can do their job. In other words, other enzymes stitch onto the folded chain chemical groups that are not made from amino acids at all. Some of these added groups contain metal ions such as iron, copper, or cobalt, which are good at facilitating chemical reactions. The hemoglobin protein, for example, has at its core a heme group in which an iron atom sits at the center of a ring made from carbon and nitrogen atoms. The iron can form a chemical bond with oxygen so that hemoglobin can ferry it around the bloodstream and bring it to where it can be used to “burn” sugars and generate energy....Another common chemical addition to the polypeptide chain are sugar molecules, typically themselves linked into short chains....Protein kinases are a fairly large family of proteins. There are around five hundred of them in human cells, encoded by around 2 percent of our protein- coding genes. And almost half of our proteins are capable of being phosphorylated, some of them at several different sites that might be accessed by different protein kinases. So this isn’t just a matter of a phosphorylated protein being “on” or “off.” They can be activated by degrees, and in a cooperative manner: some kinases might only attach their phosphate to target proteins that already have other phosphates attached. This means that such signal transduction pathways can have a rather complex logic. What’s more, there are other enzymes called phosphatases whose job is to chop a phosphate group back off another protein. In this way, protein kinases and phosphatases can regulate the activity of other enzymes in a cyclic fashion....A protein kinase takes a phosphate ion from the cell’s “energy molecule” ATP and attaches it to another protein, most commonly one of two amino acids (serine or threonine) in the polypeptide chain of its target. The target protein is then said to be phosphorylated.",un-dogma,Protein,Prot,PM1,Protein,Protein,Protein modification,,Protein,1
,"Crudely speaking, the enzyme is thought to interact with the substrate like a lock into which only the right key fits. This is known as recognition, and it is thought to allow the flows of molecular matter, energy, and information in the cell to be orchestrated along well- defined chains of molecular interaction....each protein knows exactly what it is supposed to do and who it is supposed to meet, by virtue of its folded shape and its consequent capacity for molecular recognition, and that it treats everyone else as irrelevant.",Dogma,Protein,Prot,PRT4,Protein,Protein,,,Protein,1
,"In 1961 Monod and Jacob coined the word allostery (meaning “other shape”) to refer to how a protein’s interaction with one molecule (such binding partners are generally called ligands) can affect that with another. For example, an enzyme that transforms ligand A might be inactive until it binds ligand B, whereupon it becomes able to convert A to some product P. This is generally thought to be due to a shape change in the protein: the docking of B might, say, pull open an active site that then sets to work to convert A to P....GPCRs were regarded as simple on- off switches, activated by an allosteric change in conformation...But there is another reason why many of our proteins are not machine- like locks that fit specific keys— and why therefore the allosteric interactions that create networks of interaction and control can’t be understood in terms of precise, mechanical switching. This is that many of them, or many parts of them, are in fact not structured all.",un-dogma,Protein,Prot,PI1,Protein,Protein,allostery,,Protein,1
,"Our portraits of proteins are not representative....As biologist Dennis Bray says, “any individual molecule is intrinsically capricious and unreliable, dominated by thermal energy.”....Instead, parts of their polypeptide chains are loose and floppy— “intrinsically disordered,” in the jargon of the field. Intrinsically disordered proteins are not strongly committed to a particular “shape”: in contrast to traditional globular proteins where there is a uniquely stable folded shape into which the collapsing chain is channeled by a wide “energy funnel”, their energy landscape is more randomly rugged, with several competing conformations they may adopt.",un-dogma,Protein,Prot,PS1,Protein,Protein,Protein structure,,Protein,1
,"Fuzziness and imprecision are not only common; they are features of some of the most important molecular unions in the cell....This is not a mistake or shortcoming of evolution, but an intentional feature.",un-dogma,Protein complex,Prot_C,FZ4,Protein,Phenotype,Signaling Network,,Protein,2
,"The very notion of “protein structure” is perhaps better regarded as a set of conformations, akin to the choreographed poses through which a dancer continually moves. There’s no guarantee that the pose adopted in a crystal structure is the one that matters most for its biochemical function(s). For example, many enzymes have loops in the polypeptide chain that dangle around or over their active sites, where they bind and transform their ligand targets. The loops are highly flexible and can create different active-site conformations with distinct properties and functions, such as affinity for different ligands. This enables proteins to carry out more than one function....Meanwhile, far from hindering allostery, it seems likely that structural disorder is a key enabler of it....Many of them (proteins) will bind to all manner of other molecules, including other proteins— they might show some degree of preference for a particular substrate, but not exclusively so. Often a binding event itself gives such proteins a more orderly, folded form: they “fold on binding” into a shape that is contingent on the partner. If, then, we investigate the structure of the protein bound to a substrate, it looks as ordered as any other. Yet that folded form will differ for different binding partners. Other disordered proteins remain resolutely unstructured even when they bind, latching on amoeba- like to form sprawling, fuzzy unions.",un-dogma,Protein complex,Prot_C,FZ1,Protein,Protein,Protein structure,Signaling Network,Protein,2
,"For example, a compact enzyme called tau, which helps to maintain the stability of neurons in the central nervous system, can reconfigure itself into fibrous tangles that have been proposed as a trigger for Alzheimer’s disease by causing the death of neurons in the brain. This “misfolding” is reminiscent of that seen in proteins called that are associated with other prions neuro degenerative diseases. Prion proteins (PrPs) can produce a range of closely related brain disorders in humans and other animals, including bovine spongiform encephalopathy (BSE) in cattle, scrapie in sheep, and Creutzfeldt-Jakob disease (CJD) in humans. Again, these conditions are thought to arise from the aggregation of the misfolded protein into neurotoxic tangles.",un-dogma,Protein,Prot,PS2,Protein,Phenotype,Protein structure,Development and disease,Protein,1
,"...intrinsically disordered proteins interact only weakly and transiently with many other molecules, says Polish cancer researcher Ewa Grzybowska, they enable cells to respond quickly to a change in circumstances, giving access to a wide variety of possible routes for transmitting and directing signals that are— and this is crucial!— not preprogrammed into the system.",un-dogma,Protein complex,Prot_C,FZ2,Protein,Phenotype,Protein structure,Signaling Network,Protein,2
,"Brad Thompson have proposed that disorder is a better way to ensure that a change in one part of a protein can be felt in another part, because it doesn’t require precise “engineering” of a mechanism to couple them. Binding of a ligand produces subtle shifts in the many different conformations to which a disordered protein has access, and these collectively “spread the word.” The floppiness makes such proteins not only able to bind several different ligands but makes them intrinsically and broadly sensitive to what is happening in different parts of the molecule so that the binding event can have knock- on consequences.",un-dogma,Protein complex,Prot_C,FZ3,Protein,Protein,Protein structure,Signaling Network,Protein,2
,"The prion hypothesis, first proposed in the 1980s by the neurologist and biochemist Stanley Prusiner, was at first widely derided because it credited proteins with properties that no one had previously thought they possessed. Prusiner’s idea was that the misfolded prion protein could actually transmit its aberrant form to “healthily” folded variants—in seeming violation of Francis Crick’s Central Dogma that structural information cannot pass from one protein to another. The fibrous tangles formed from the pathological protein can then break up into fragments that “seed” the formation of others. (It’s still not fully understood what the structure of these tangles is.) That propensity can even be passed on when cells divide, inherited by the daughter cells from the parent.",un-dogma,Protein,Prot,PS3,Protein,Protein,Protein structure,,Protein,1
,"Some genes may generate many variants: the protein troponin T, a key component of the contractile filaments of muscles, has more than eighty alternatively spliced forms, and in rare cases the alternatives can run into the hundreds (not all of which might be functional).",un-dogma,Protein,Prot,ISO2,DNA,Protein,Splicing,,Protein,1
,The splicing of exons is carried out by an assembly of small nuclear (sn) RNA molecules and proteins called the spliceosome. Some of the proteins unite with snRNAs to make so-called small nuclear ribonucleoproteins (snRNPs).,un-dogma,snRNA,sn_R,SR3,RNA,DNA,Splicing,,RNA,2
,"It (splicosome) has some essential parts, such as the RNA molecules, but some of the proteins seem to be constantly changing— coming and going or rearranging as the assembly does its job....Not only must the spliceosome do different jobs on the same gene transcript in different tissues, but it might need to alter its activity quickly in response to some new change in the cell environment— a new signal transmitted from the cell surface, say....One family of proteins involved in metazoan splicing is called the “SR proteins,” which have a domain that binds to RNA and a disordered region containing just two types of amino acid (arginine and serine) repeating again and again in a disorderly sequence. How SR proteins act within the assembly can be changed by phosphorylation: other enzymes can, you might say, reprogram them.",un-dogma,Spliceosome,Spl,Spl1,Protein,RNA,Signaling Network,Splicing,Protein,2
,"Much of the regulation of splicing— the choice, if you like, of how to stitch exons back together— is accomplished by associations between RNA and so- called RNA- binding proteins (RNABPs), which do what it says on the can. These proteins constitute another whole network on top of that which regulates gene activity itself, organizing the RNA transcripts in different ways in different tissues. We currently estimate that there are around 1,500– 1,900 types of RNABPs in human cells— they are, in addition to soluble globular proteins and membrane proteins, a third major group, whose very existence was unforeseen until just a few years ago....yet again, they (RNA Binding proteins) contain many disordered regions. A few RNABPs seem, remarkably, to have dual roles. As well as binding to RNA, they might act as regular metabolic enzymes: as clear an indication as any that we can’t glibly assign proteins fixed roles. The protein aconitase, which catalyzes a step in the Krebs cycle of metabolic reactions, can switch to become an RNABP that regulates iron intake in response to iron deficiency. Their intrinsic disorder gives RNABPs this ability to moonlight.",un-dogma,Spliceosome,Spl,hn4,Protein,RNA,Protein regulation,Splicing,Protein,2
,"Some RNABPs seem merely to congregate with RNAs into blobs called ribonucleoprotein (RNP) granules, which form in cells in response to stress and have a variety of functions in metabolism, memory, and development. Stress granules like these can sequester proteins that are not needed during a cell’s response to whatever is challenging it, but which might be required immediately once the stress has passed, such as proteins involved in growth and metabolism. The stress granules enable these functions to be put on hold while the cell copes with the immediate crisis. The formation of RNP granules is less a sort of Lego-like assembly process and more akin to the separation of droplets of vinegar in oil as salad dressing separates—a process called liquid-liquid phase separation, which we’ll see is a common way for cells to congregate a variety of their components. Given the loose and somewhat unspecific constitution of stress granules, you’ll not be surprised to hear that many of the proteins involved in their formation are disordered.",un-dogma,Protein complex,Prot_C,LQ1,Protein,Transcription,Protein regulation,Concentration,Protein,2
,"Proteins called neurexins, which control the adhesion between cells and are an essential component of the formation of synapses (the junctions of neurons), are alternatively spliced into vast numbers of different forms....It’s thought that various “isoforms” of the Dscam1 protein are produced at random by alternative splicing, and that they act as arbitrary cell-surface labels that distinguish one axon from another.",un-dogma,Protein,Prot,ISO3,RNA,Protein,Splicing,,Protein,1
,"Thanks to regulatory mechanisms, splicing is tissue- specific. The different cell types don’t just have a different repertoire of genes turned on and off, but a different array of proteins made from them.",un-dogma,Protein,Prot,ISO1,RNA,Protein,Splicing,Gene Regulation,Protein,1
,"Alternative splicing and polyadenylation of mRNA shows that there is at least as much regulation going on after transcription of a gene has begun—that is, en route from RNA to protein—as there is before transcription happens, when it may be turned up or down with the involvement of regulatory sites on DNA itself.",un-dogma,mRNA,m_R,hn7,RNA,Translation,Splicing,Gene Regulation,RNA,2
,"Gene sequences do not typically encode a specific protein with a specific shape. Instead, they are resources for making families of proteins.",un-dogma,Gene and genome,gen,EN3,DNA,Protein,DNA is not all that,,Gene and genome,1
,"It’s no surprise, then, that alternative splicing seems to go hand in hand with disorder in proteins.",un-dogma,mRNA,m_R,hn5,RNA,Protein,Splicing,protein structure,RNA,2
,"The reason reshuffling produces proteins that are still capable of doing something useful is that most of their parts, sometimes encoded in individual mRNA exons, are really modules, independently able to fold and to confer some kind of function. These domains, and each is rather like a mini- modular units are called protein in its own right, typically between 50 and 250 amino acids in length....Compiling proteins in a modular manner via exons and alternative splicing creates lots of opportunity for generating new versions, which natural selection can sift to find ones that are useful.",un-dogma,Gene and genome,gen,EN4,RNA,Protein,Splicing,protein structure,Gene and genome,1
,"In this view, the evolution of metazoan proteins is not so much a slow affair of letting random genetic mutations change one amino acid for another and seeing what effect it produces. Rather, it constitutes a reshuffling of already functional modules to produce multidomain molecules with new potential— a strategy much more likely to yield successful results.",un-dogma,Gene and genome,gen,EN5,DNA,Protein,gene duplication,,Gene and genome,1
,"As François Jacob said in 1977, evolution is a tinkerer, and “none of the materials at the tinkerer’s disposal has a precise and definite function. Each can be used in a number of different ways.” Thus, Jacob explained, “novelties come from previously unseen association of old material. To create is to recombine.” That is as true for proteins as it is for the cell’s molecular networks, and for cells themselves. To ramp up the level of complexity, nature rarely has much need to build from scratch.",un-dogma,Gene and genome,gen,EN6,Phenotype,Other,Signaling Network,,Gene and genome,1
,"The forging of new protein unions by shuffling domains seems to run counter to the common view that proteins have been optimized by natural selection to bind selectively and securely to a single designated partner. But if the latter were always the case, it is hard to see how evolution could happen at the level of networks of protein interaction— for new unions couldn’t then be forged except in the highly unlikely event that the two partners, previously strangers, just happen to be perfectly attuned to one another. Rather than new connections in the network being instantly selective and strong, they seem destined to start out promiscuous and weak.",un-dogma,Gene and genome,gen,EN7,Protein,Protein,Protein structure,Signaling Network,Gene and genome,1
,California- based cell biologist Manuel Leonetti and his coworkers have suggested that the network of interactions between proteins might include a domain dubbed the “evolvosome”: a kind of hub for forging new protein matches that might by happy accident become useful to the cell.,un-dogma,Protein complex,Prot_C,NW1,Protein,Protein,Signaling Network,Plasticity and redundancy,Protein,2
,"The molecular mechanism of regulation may be surprisingly loose and seemingly messy, and there is probably a good reason why it works that way.",un-dogma,Protein complex,Prot_C,NW2,Phenotype,Other,Signaling Network,,Protein,2
,"One of the most important roles of metazoan proteins is thus not to catalyze some specific reaction in the manner of an enzyme but to mediate between the molecular information- bearing pathways of our cells, creating crosstalk and forging new links. There is a class of proteins called scaffold proteins (SPs) whose job it is to do this....In a sense, the whole point of scaffold proteins (SPs) is that they are good at forging links between signaling pathways, new opening up new developmental possibilities. They are not tailor- made, but good at improvising, often by a reshuffling of the binding domains they possess....By sequestering certain proteins, SPs can also act to insulate pathways from interfering crosstalk.",un-dogma,Scaffold proteins,sca_Prot,SACP1,Protein,Protein,Signaling Network,,Scaffold proteins,1
,"Some latch on to specific DNA sequences; others are more relaxed about which bits of DNA they attach to, raising the question of how they help to create a selective response in gene expression at all. One TF, called the TATA-box binding protein (TBP), sticks to a common unit containing the sequence TATA in the promoter region of various eukaryotic genes. The binding of TBP to a gene promoter is one of the first steps in getting transcription started. It seems somehow to help the main RNA-making enzyme (RNA polymerase II) attach to the DNA and begin its work. But TBP interacts with various other transcription factors and other proteins, so there seems to be a diverse work force involved in getting transcription underway.",un-dogma,Transcription factor,Tr_F,ZE3,Protein,Transcription,Signaling Network,Plasticity and redundancy,Protein,2
,"...how such molecular networking has evolved not to be too pedantic or choosy about who is partnered with whom— and how, even without such precision, our cells can still muster reliable and predictable behaviors....It’s more surprising to find that the networks describing, say, how proteins pass messages around in the cell have hubs that unite perhaps half a dozen of them at once, just for the instant that the message is transmitted.",un-dogma,Protein complex,Prot_C,NW3,Protein,Phenotype,Signaling Network,Plasticity and redundancy,Protein,2
,"...we are starting to realize that protein structure is not as central to protein function as we once thought—and in particular, that many of the proteins whose regulatory roles truly distinguish us and other complex animals from simpler forms of life rely on their dynamism and disorder.",un-dogma,Protein,Prot,PS4,Protein,Phenotype,protein structure,protein modification,Protein,1
,"What a protein for its host cell means is mutable with the state of the whole cell, and is thus literally absent from the sequence of the gene encoding it. In fact, the viability of the metazoan cell depends on leaving this “meaning” open, so that it can be determined contingently and not predetermined absolutely.",un-dogma,Protein,Prot,MP1,Protein,Phenotype,,,Protein,1
,"In this way, the states and operations of the cell are selected through a combination of prescribed “bottom- up” information along with inputs both within the cell and outside it. (And we mustn’t forget too that even the “bottom- up” information from genes gets regulated epigenetically from the top down.) In other words, the information ecosystem within which proteins operate is not that of a genetic blueprint, but is open.",un-dogma,Cell and organism,cell_org,D1,Phenotype,Other,Gene regulation,,Cell and organism,1
,"As (re)stated in 1970, Francis Crick’s Central Dogma says that the information encoded in the sequences of DNA and RNA can be transferred to the sequences of proteins, but once there it cannot “get back out again”: that is, it can’t find its way back into a nucleic acid, nor can it be transferred from one protein to another. And indeed there is no way we know of for a protein to systematically alter the sequence of DNA.",Dogma,DNA,DNA,CD5,DNA,RNA,,,DNA,1
,"The
existence of transcriptional regulation had recommended the notion
of thinking about so-called
gene action not in linear terms—this
gene
makes this protein, which catalyzes this reaction—but
as a network.",Dogma,Gene expression,gen_X,Lac3,Other,Transcription,,,Gene expression,1
,The implicit picture behind all this was one in which molecules held selective conversations.,Dogma,Protein,Prot,PRT5,Phenotype,Phenotype,,,Protein,1
,"In 2012, developmental biologist Eric Davidson and his colleagues showed that, using experimental data for the gene regulatory network of the sea urchin, they could make rather accurate predictions about which genes would be switched on or off in the network of fifty or so key genes in the four main tissue types (called the endoderm, mesoderm ectoderm, and skeletal micromere) of the embryo as it developed hour by hour. It seemed that, knowing the “wiring diagram” of the network, one could predict how gene activity would unfold. Impressive, yes— but it was not (as some suggested) a comprehensive picture of how development happened, primarily for the reason that it didn’t predict development at all! All of the spatial information about where cells were and what shape the developing organism took had to be put in by hand.",un-dogma,Cell and organism,cell_org,D2,DNA,Phenotype,Cell State,Gene Regulation,Cell and organism,1
,"In particular, while promoter elements tend to appear next to their genes, enhancer elements could be many thousands of base pairs away. How does it work? And why did that nature seem to be so perverse?",un-dogma,Enhancer,Enc,Enc4,DNA,DNA,non-linear DNA interactions,,DNA,2
,"Another problem was that, for complex organisms like us, the network of interacting molecules— the interactome— sometimes seemed not just absurdly but impossibly complicated. The prevailing idea was that biomolecules speak to one another in intimate, highly selective embraces. Sometimes these exchanges demand the convening of several molecules at once. For example, a regulatory RNA molecule might bind to a section of DNA via base pairing in a sequence- specific manner, and then the RNA could latch onto an enzyme that effects some chemical transformation, so that the corresponding change happens at a sequence- selected location. That is, for example, how the enzyme methyltransferase, with a very general capacity to stick a methyl group onto a cytosine base of DNA, can conduct selective epigenetic marking.",un-dogma,Protein complex,Prot_C,NW4,Other,DNA,Epigenetics,regulatory RNA,Protein,2
,"Imagine it: amid the random noise of the cell, where proteins are bouncing this way and that in a chaotically crowded environment, their concentrations are constantly fluctuating, when unions between proteins are in any and case temporary, being made and broken all the time, you have to wait until all the right components just happen to come together at the right time and place to form this incredibly complicated and intricate structure. It’s not unlike hoping that a billiards shot will send all the balls colliding in just the right way for them to reform the triangular array in which they were sequestered before the opening break shot. And what happens if one element is still missing? Will the rest still kind of work, but not so well, or will it fail just like a watch mechanism that lacks a cog?",un-dogma,Protein complex,Prot_C,NW5,Protein,Protein,Signaling Network,,Protein,2
,"How do you define and model such a fuzzy network? And more to the point, how can life reliably function amid such apparently casual and ill- defined molecular transactions? If the first challenge to the conventional story of our own biology comes with the recognition that genes don’t relate to traits in any straightforward way, and the second comes from the discovery that our organismal complexity lies not with the genes themselves but with how they are regulated, the third major shift in thinking is that this regulation is not governed by simple switching processes in a precisely delineated interactome network.",un-dogma,Protein complex,Prot_C,NW6,Phenotype,Other,Gene regulation,,Protein,2
,"Spakowitz has put it, “Despite the fact that I have worked on chromosomal organization and dynamics for the past twenty years, I am still baffled by the question of how it is possible to have robust regulation despite the observed heterogeneity within the nucleus.”",un-dogma,Enhancer,Enc,Enc3,DNA,Phenotype,Chromatin Structure,Gene Regulation,DNA,2
,"A loop containing the enhancer region needed to ramp up expression of a gene might thus be brought close to the respective gene as the loop expands. Pairs or groups of genes that are co-regulated by a shared enhancer might also be brought together this way, allowing gene activity to be controlled in a well -coordinated fashion.",un-dogma,Enhancer,Enc,Enc5,DNA,Transcription,non-linear DNA interactions,,DNA,2
